tag,komentarz,timestamp
giełda,"Halo... Chyba ktoś zapomniał, że na naszej giełdzie mamy 70 % kapitału... I od nas niewiele zależy. Patrz np. CCC,że 20 procent shortow... Dino, Lpp. Co powiesz ludziom, którzy mają 30 % straty w tej hossie? Mówi się o nowych inwestora h, którzy mają wtopy.. I chcemy stawiać na tych nowych i naiwnych?",2025-12-07 04:49:50
giełda,"wzrosty będą takie same jak na REITach w USA ?
Ile na minusie Aleksandria czy Vici ?
Tam nie wpływasz fimikami na kursy to rynek cię wyjaśnił szybko.",2025-12-07 04:49:50
giełda,"Dobra analiza, stary. Zacząłem w zeszłym tygodniu z $5000 dolarów, a teraz mam $22 500. Rozmawiałem ostatnio o tym z synem – bogactwo pokoleniowe to nie tylko gromadzenie pieniędzy. Chodzi o nauczenie każdego, jak je zarabiać, ale także jak je zatrzymać. Nie ma sensu utrzymywać rodziny, jeśli nie rozumie, jak nimi zarządzać i o nie dbać. Gratuluję tej aktualizacji. 🙏🇵🇱",2025-12-07 04:49:50
giełda,Co uważasz o 18 letnim cyklu makroekonomicznym? Może rozwiniesz w następnym odcinku. Pozdrawiam ;D,2025-12-07 04:49:50
giełda,"Co myślisz o elektrotim? Niby fajny backlog i perspektywy, ale wyniki to jakiś dramat...",2025-12-07 04:49:50
giełda,Gdzie te reity. Szczególnie Alexandria.,2025-12-07 04:49:50
giełda,"Nie zgadzać to ja się mogę z kato pato prawicą, poprzednim bandyckim skorumpowanym rządem i inflacją powyżej 20%, która wtedy miała miejsce.",2025-12-07 04:49:50
giełda,"No dobra? Gdzie wyladuje Orlen. A z resztą, nie ważne, poszło w aborcje...",2025-12-07 04:49:50
giełda,Wąski co ty wiesz o zabijaniu,2025-12-07 04:49:50
giełda,Dzięki za kolejny arcyciekawy odcinek. Mądrego zawsze warto posłuchać,2025-12-07 04:49:50
giełda,"Siema. Chciałbym was prosić o polecenie mi książki z tematu: psychologia inwestowania, wycena spółek itd. Pytam wyłącznie o książki na poziomie wiedzy inwestycyjnej średnio/wysokim. Mówiąc to mam na myśli, żeby autor nie tłumaczył czym są obligacje akcje itd., totalne podstawy. Z góry dziękuję",2025-12-07 04:49:50
giełda,"KGHM pięknie rośnie🎉
Czekamy kiedy WIG80 odbije",2025-12-07 04:49:50
